,video,short-term_memorability,nb_short-term_annotations,long-term_memorability,nb_long-term_annotations
0,7494,0.8336919345214469,33,0.7352430573546538,12
1,7495,0.7654811667183433,34,0.7453184063500033,10
2,7496,0.9072995880281123,32,0.8366481208724448,13
3,7497,0.8692591368583711,33,0.77598770329063,10
4,7498,0.8165547955356438,33,0.7237920560437489,10
5,7499,0.9070145648496093,33,0.8241103024222645,13
6,7500,0.8365212178965582,33,0.7546058602485725,10
7,7502,0.8542587961727489,43,0.8054952189133578,15
8,7503,0.8811289487585807,33,0.793473589541885,11
9,7504,0.8638713496313019,33,0.7905245726015389,15
10,7505,0.8141045475535533,38,0.7541976558356385,10
11,7506,0.8049317200407357,34,0.7492261050930565,10
12,7507,0.8275333171536664,34,0.7339981736476067,12
13,7508,0.8546717428896058,33,0.7893006840647796,14
14,7510,0.8537243082434663,33,0.789857460016181,11
15,7511,0.8985473719420185,34,0.8259010119343709,18
16,7513,0.8762054831503774,34,0.7999286949086158,19
17,7515,0.8950171660672408,33,0.8259618475746346,13
18,7516,0.8992182350302578,34,0.8453484791736197,11
19,7517,0.8542501917070118,33,0.7759189060549181,13
20,7518,0.8645222560109314,33,0.8071744323879942,10
21,7519,0.8638182860890713,32,0.7516920453445929,10
22,7520,0.8668043987059122,33,0.8000036442672375,14
23,7521,0.8338504074395674,34,0.783568429374223,14
24,7522,0.8754968487487891,33,0.8246258893872176,16
25,7523,0.8571471518842133,34,0.8373597712715994,14
26,7524,0.881884913688865,50,0.8038825955375639,22
27,7525,0.8581407946782126,42,0.7982919726050117,10
28,7526,0.8262643156127261,31,0.7769973327721449,20
29,7527,0.8716502766299451,33,0.7714452813897069,17
30,7528,0.8140174374821789,32,0.7655263769496232,10
31,7530,0.8946651646401999,34,0.827976652313287,11
32,7531,0.8418779072456695,33,0.7906392341984193,14
33,7532,0.8015231238770805,33,0.8191302669005325,14
34,7533,0.8985176893765401,34,0.887249860075586,9
35,7534,0.8943848074639538,34,0.8304204017022581,10
36,7535,0.8546116716088074,34,0.8008763304214929,10
37,7536,0.8450250927183128,46,0.7582673158848612,11
38,7538,0.8863727025277559,34,0.8087569357303313,10
39,7539,0.8567728389139195,32,0.7803781474379731,10
40,7540,0.8514597919243299,33,0.762264414648267,10
41,7541,0.8574214812788943,35,0.7679398941168434,10
42,7542,0.917027412747604,33,0.841131242840485,12
43,7543,0.7534004813614675,33,0.6750058408553525,12
44,7544,0.8692318971133951,34,0.8330471471665534,11
45,7545,0.8982097721889195,33,0.836113312326951,13
46,7546,0.8843979713023716,34,0.8093958830058152,14
47,7548,0.855636078058966,38,0.7940931596276333,9
48,7549,0.881231735292337,34,0.7859222723449577,13
49,7550,0.8869248159612476,56,0.795363031568911,21
50,7552,0.6949223330717641,32,0.648314306833336,16
51,7554,0.8480743806912994,51,0.7842448305719023,24
52,7555,0.8628616492211834,55,0.8421017937149733,13
53,7556,0.8519882853427643,33,0.7163342760231833,19
54,7558,0.7905612182658424,33,0.7562657071234283,16
55,7560,0.8569582515044716,33,0.777109144789879,12
56,7562,0.822333744350221,33,0.7672832451270013,10
57,7563,0.8870347230203258,32,0.8049669585498469,16
58,7565,0.822549364045955,34,0.7717462127889153,10
59,7566,0.8925849565838273,34,0.7579037777685227,13
60,7567,0.8176085736526533,32,0.7063271716240487,12
61,7568,0.8454969181793387,34,0.7469873693718748,13
62,7569,0.8428863077073516,43,0.7906759940481903,10
63,7571,0.8744501336895346,32,0.8241538526401029,11
64,7572,0.8751721152550455,34,0.7729984931553141,11
65,7573,0.8586183854411441,37,0.7890292158566049,11
66,7574,0.8723437924094832,36,0.8046614478883218,12
67,7575,0.838419815067078,34,0.7341457040498802,14
68,7576,0.8149316552970141,33,0.7217405659847578,12
69,7578,0.841927352947883,47,0.7812066801864253,11
70,7579,0.8631233452634715,33,0.7545651160181991,15
71,7580,0.8173754569070467,33,0.7570647655918944,17
72,7581,0.8217746170057812,33,0.7621266905440504,14
73,7582,0.8527918865699734,34,0.7571789910686444,10
74,7584,0.8609909978626455,34,0.8033084811518464,10
75,7585,0.8795489224882326,41,0.816999362325977,16
76,7587,0.828479896114257,33,0.7698183652210527,16
77,7588,0.8598609582177252,76,0.8040495266721203,16
78,7589,0.8585238639634243,35,0.7952284784430936,11
79,7590,0.8805852064983464,58,0.8386698922775265,13
80,7591,0.8887967836323785,34,0.8075963408333161,10
81,7592,0.8673470740661724,33,0.7543247655107495,11
82,7593,0.8209929990150722,33,0.7869982805804951,15
83,7596,0.8961326143976395,33,0.8048346743967075,12
84,7597,0.9042723014371387,33,0.8243703422186606,11
85,7598,0.8457231007840056,32,0.7981496420359662,11
86,7599,0.8753256474421474,32,0.8276312986691753,14
87,7600,0.8981833902954122,34,0.8606160685031271,9
88,7602,0.840132765138804,33,0.8120140863903292,10
89,7603,0.8609027234094682,34,0.7954515525415591,24
90,7604,0.8943126685238958,42,0.8979792916042744,10
91,7605,0.9082861397162213,39,0.8616174954660181,11
92,7606,0.8375001122705552,34,0.7591388369150803,10
93,7607,0.8061261048559976,33,0.7449884085660775,12
94,7608,0.8957247595989004,36,0.856472695244378,12
95,7609,0.8574429589685593,33,0.6847318346740173,16
96,7610,0.9053789976191354,66,0.8384380927840717,15
97,7611,0.9053580411392959,33,0.8216682581831689,20
98,7612,0.859559085569972,35,0.7850121556258375,16
99,7613,0.8805995364385503,32,0.7835146170851557,10
